revenueid,transactionid,revenuedate,amount,description
198942,720562,2024-01-17,151399.5,Property management fee
972482,853980,2024-04-24,39488.38,Maintenance and service fee
644896,926221,2024-01-01,14974.5,Real estate sale commission
568717,361802,2024-05-23,150412.84,Investment return
584215,132798,2023-10-21,61962.0,Real estate sale commission
536630,193421,2023-12-24,149221.86,Rental income
928388,177507,2023-12-28,110975.77,Real estate sale commission
979197,674500,2024-07-08,168894.55,Rental income
185192,303222,2024-06-25,68088.15,Investment return
350230,896722,2024-03-12,45368.33,Consultation fee
598984,883714,2024-02-27,108197.32,Consultation fee
321243,111241,2023-11-16,189047.82,Property management fee
621451,226023,2023-10-18,20115.21,Property management fee
611338,671391,2023-08-27,6840.08,Property management fee
200240,684783,2023-09-14,195881.19,Maintenance and service fee
667043,219180,2023-09-13,150470.57,Investment return
315240,681110,2023-12-01,63396.89,Real estate sale commission
725757,203615,2024-07-26,79034.18,Maintenance and service fee
752124,502757,2024-06-05,19040.13,Real estate sale commission
283211,926725,2023-10-09,192309.22,Rental income
586072,106415,2023-08-26,189056.89,Property management fee
558552,573839,2024-02-05,7723.02,Consultation fee
868847,515615,2024-02-17,27877.33,Real estate sale commission
645390,402432,2023-09-13,154017.54,Property management fee
536576,854570,2023-11-28,176402.37,Real estate sale commission
705648,999959,2024-04-12,62376.17,Real estate sale commission
132394,733444,2024-04-04,162471.29,Lease signing bonus
511311,696113,2024-01-23,91909.63,Maintenance and service fee
537184,588555,2023-08-17,22564.86,Investment return
445480,895537,2024-01-14,33642.94,Property management fee
668224,369537,2023-10-20,105383.6,Investment return
414612,768000,2024-01-06,58050.02,Rental income
740805,395851,2024-05-24,108223.42,Investment return
209339,642835,2024-04-06,94846.85,Rental income
439189,176827,2024-06-07,112440.59,Consultation fee
929158,523324,2024-04-25,41271.81,Rental income
334885,784148,2023-08-20,80484.75,Rental income
965246,327317,2024-04-13,93982.62,Maintenance and service fee
362035,467369,2023-11-19,33063.52,Real estate sale commission
432282,825313,2024-01-19,32069.86,Property management fee
489920,149694,2024-02-12,19984.96,Real estate sale commission
827409,382558,2024-06-27,20729.28,Consultation fee
606895,831097,2023-08-11,118396.63,Consultation fee
173969,708051,2023-11-18,48609.96,Maintenance and service fee
132339,512264,2023-12-22,78424.17,Property management fee
889211,948836,2023-09-27,182587.63,Investment return
255148,730823,2023-08-23,164646.36,Maintenance and service fee
246583,736783,2023-10-09,121206.7,Property management fee
597693,177507,2024-02-17,41605.27,Property management fee
777848,918995,2024-07-30,142835.77,Consultation fee
108416,932828,2024-05-03,100363.44,Property management fee
884646,501770,2023-11-27,144807.34,Rental income
395572,495331,2023-11-05,115761.16,Real estate sale commission
110816,909892,2023-12-22,123701.93,Real estate sale commission
342957,350426,2024-05-15,167707.21,Investment return
925287,954379,2023-09-05,66959.08,Consultation fee
828542,867564,2024-02-08,187579.87,Investment return
341343,146978,2023-08-09,35136.7,Maintenance and service fee
173322,149694,2024-02-20,152523.11,Maintenance and service fee
770705,375291,2023-11-16,161913.93,Lease signing bonus
150734,296880,2023-10-16,141316.86,Investment return
924289,744563,2024-05-20,177303.98,Rental income
530384,588555,2024-07-21,133448.7,Property management fee
216168,467184,2024-05-26,173746.13,Investment return
161805,488638,2024-06-27,112579.03,Maintenance and service fee
275894,223663,2023-09-14,18335.3,Consultation fee
636281,648767,2024-03-23,56328.28,Consultation fee
785702,306283,2023-09-06,172771.6,Lease signing bonus
831019,913565,2023-10-14,137237.48,Rental income
583530,362109,2023-08-23,111005.85,Consultation fee
682100,365437,2024-05-15,113484.27,Rental income
420554,300982,2024-02-29,149178.33,Lease signing bonus
840913,926725,2023-09-30,134591.12,Property management fee
117146,994656,2024-04-28,161784.06,Consultation fee
755268,935684,2024-02-16,165281.3,Consultation fee
647342,340128,2023-08-28,23873.73,Lease signing bonus
216432,992966,2023-11-18,179065.19,Investment return
378209,410237,2024-02-01,162462.87,Rental income
929300,824238,2023-12-22,118345.4,Consultation fee
690396,651709,2024-05-31,154353.9,Real estate sale commission
332719,269541,2024-05-09,142953.65,Property management fee
999711,883714,2024-02-14,136459.21,Maintenance and service fee
294740,957092,2024-05-30,125451.83,Property management fee
841656,150954,2024-06-16,167202.07,Rental income
577882,718179,2023-12-12,65429.66,Rental income
572546,380179,2024-06-21,181807.11,Maintenance and service fee
262671,911947,2023-12-15,78731.5,Property management fee
188100,978692,2024-05-11,94459.26,Rental income
900732,133005,2023-08-30,71844.64,Maintenance and service fee
938350,567497,2024-06-30,16720.92,Maintenance and service fee
516864,814677,2024-04-23,171911.97,Consultation fee
211613,392276,2024-02-21,24690.78,Real estate sale commission
956255,224814,2024-02-03,165707.63,Maintenance and service fee
428335,380179,2023-12-06,51178.19,Lease signing bonus
137040,380179,2024-04-20,35483.23,Consultation fee
728857,728993,2024-07-29,144836.49,Consultation fee
839847,635346,2024-04-23,182987.65,Maintenance and service fee
582480,872729,2023-10-25,68161.6,Investment return
475744,106415,2024-06-12,199355.56,Maintenance and service fee
433193,111241,2023-09-19,44943.04,Property management fee
589929,480194,2024-06-12,73091.53,Investment return
656493,259368,2024-01-14,174164.86,Rental income
178188,698169,2023-10-05,90160.47,Rental income
498635,177806,2024-04-13,181844.64,Maintenance and service fee
317222,446969,2024-01-02,182984.21,Rental income
769995,174888,2024-07-28,122231.89,Consultation fee
745455,265921,2023-12-02,6516.77,Consultation fee
836811,183880,2024-04-22,155859.27,Consultation fee
334212,130441,2023-09-03,5712.34,Real estate sale commission
441298,873728,2023-11-07,168382.77,Consultation fee
517328,553057,2023-09-18,6003.04,Maintenance and service fee
527315,950362,2024-05-06,158767.34,Rental income
227460,286114,2024-05-22,146357.43,Investment return
449821,543056,2024-05-28,181285.6,Real estate sale commission
592688,791812,2024-01-22,118250.65,Real estate sale commission
374200,722598,2023-12-04,48966.15,Consultation fee
911853,375291,2023-09-27,110881.75,Real estate sale commission
389432,158412,2023-08-23,92831.86,Maintenance and service fee
120500,235401,2023-10-10,161613.73,Consultation fee
396142,987487,2024-04-29,111408.5,Investment return
331337,597353,2024-05-30,8197.02,Consultation fee
703794,761332,2024-03-24,20354.31,Lease signing bonus
424705,921835,2023-11-11,33463.22,Rental income
541093,909892,2023-12-04,138568.46,Lease signing bonus
886830,518792,2023-10-30,154671.19,Maintenance and service fee
588539,702379,2024-04-30,78581.65,Lease signing bonus
591754,141776,2023-09-13,118481.63,Lease signing bonus
999538,457928,2024-06-15,69782.78,Lease signing bonus
844757,447602,2024-06-27,182866.98,Maintenance and service fee
222352,728223,2024-01-25,27626.4,Property management fee
894319,392353,2023-09-04,38247.01,Real estate sale commission
623395,466930,2024-06-11,190753.98,Real estate sale commission
121745,221261,2024-05-14,93127.47,Property management fee
320769,372045,2024-01-23,53406.5,Investment return
225490,738151,2023-08-21,119416.06,Rental income
780821,416792,2024-06-24,80507.86,Consultation fee
649712,619572,2024-04-23,76927.76,Lease signing bonus
844718,420766,2023-08-15,150254.37,Consultation fee
896369,365437,2023-10-13,156684.76,Lease signing bonus
707770,922809,2023-10-04,103105.47,Rental income
441844,181247,2023-09-28,85803.03,Lease signing bonus
936839,962628,2023-11-14,97315.64,Maintenance and service fee
994776,207989,2023-11-30,41234.31,Investment return
669451,284349,2023-09-15,133193.14,Real estate sale commission
848369,923632,2023-11-08,61360.78,Consultation fee
877317,769357,2024-06-13,179608.49,Property management fee
218117,425485,2024-04-13,183501.96,Property management fee
962518,251385,2023-12-21,129828.08,Consultation fee
340439,725789,2024-02-14,190572.91,Real estate sale commission
900618,667159,2024-01-31,193321.57,Rental income
505230,647408,2024-05-26,195504.31,Maintenance and service fee
538471,328346,2024-06-04,26662.47,Property management fee
522823,251316,2023-10-10,21543.39,Investment return
341459,279027,2023-09-03,21190.8,Investment return
525769,923632,2024-06-16,47595.36,Investment return
450712,626997,2023-10-12,166595.68,Rental income
497076,761408,2024-05-12,195368.28,Property management fee
151573,933176,2024-07-05,148683.89,Rental income
196937,100730,2024-07-08,31250.3,Rental income
686114,771367,2023-12-18,158539.63,Investment return
397400,190035,2023-09-15,6283.25,Rental income
763449,237661,2024-04-28,18648.09,Consultation fee
623326,452677,2023-08-19,150386.61,Maintenance and service fee
807889,909991,2024-01-28,116628.67,Property management fee
315360,148225,2024-06-20,161212.82,Lease signing bonus
926912,718179,2024-06-25,44480.6,Rental income
963855,193428,2024-07-09,12843.57,Property management fee
371452,483238,2024-07-13,163779.86,Maintenance and service fee
968153,266572,2023-12-17,110124.25,Lease signing bonus
708942,333664,2023-08-23,49132.49,Lease signing bonus
850058,141776,2023-11-25,31364.62,Consultation fee
477014,743033,2023-11-29,73782.88,Lease signing bonus
332743,231269,2024-03-23,177442.54,Real estate sale commission
996463,409620,2023-10-05,33420.99,Property management fee
293138,496775,2024-01-30,48636.74,Real estate sale commission
657516,454089,2023-10-16,188999.17,Maintenance and service fee
599297,516311,2024-03-24,60141.53,Lease signing bonus
278536,499215,2023-08-11,62649.39,Lease signing bonus
736121,690068,2024-02-08,155163.2,Real estate sale commission
981246,228353,2024-04-28,35306.82,Property management fee
998076,579107,2024-06-18,125437.24,Property management fee
461647,598728,2024-01-27,138637.35,Lease signing bonus
878912,931341,2024-01-25,44235.04,Rental income
190311,153606,2024-05-28,88810.69,Investment return
446987,316000,2024-02-10,73891.95,Consultation fee
552282,280705,2024-07-30,121909.41,Maintenance and service fee
849265,727598,2023-09-25,185685.62,Rental income
867001,420766,2024-07-03,97166.3,Investment return
340945,744563,2023-10-14,116071.89,Maintenance and service fee
898829,166880,2024-03-19,166091.27,Rental income
741835,425485,2023-10-19,38181.18,Property management fee
659078,872729,2024-04-17,174976.74,Rental income
134860,938558,2023-11-17,182393.59,Consultation fee
322112,965269,2023-12-29,165472.08,Lease signing bonus
259123,132798,2024-01-26,105052.05,Real estate sale commission
556272,676921,2024-03-27,26528.45,Property management fee
329651,989013,2024-02-03,135250.75,Lease signing bonus
754227,982592,2024-05-14,7896.02,Lease signing bonus
393314,702379,2023-10-18,123857.71,Real estate sale commission
481053,600581,2024-07-12,174581.29,Lease signing bonus
853188,102008,2023-09-27,115732.14,Rental income
114902,171291,2024-02-21,75003.09,Lease signing bonus
519847,142477,2023-12-09,79484.47,Lease signing bonus
809121,369537,2024-02-21,174174.11,Consultation fee
301441,158548,2023-12-07,185028.92,Maintenance and service fee
267969,465990,2023-09-05,126505.9,Property management fee
667257,640317,2024-01-15,44688.86,Property management fee
367002,607881,2024-06-11,164925.79,Rental income
200144,674418,2024-01-29,136393.46,Lease signing bonus
924568,884186,2023-12-26,77605.97,Lease signing bonus
624221,158548,2023-08-06,181453.77,Rental income
571390,255016,2023-12-03,60365.17,Real estate sale commission
680048,285224,2024-05-25,158598.02,Lease signing bonus
236067,512264,2024-03-15,13002.57,Investment return
625960,160869,2023-10-27,143730.05,Real estate sale commission
766710,977127,2024-04-23,142301.1,Maintenance and service fee
794899,464932,2024-01-08,120698.56,Investment return
641764,958486,2023-12-07,76346.06,Property management fee
155330,835664,2024-05-11,76371.01,Consultation fee
488842,720798,2023-10-09,144669.8,Real estate sale commission
646941,476472,2023-12-03,190229.02,Lease signing bonus
520610,416792,2024-04-27,133743.58,Real estate sale commission
326066,459210,2024-07-20,27017.14,Real estate sale commission
273979,109046,2024-01-11,112119.54,Maintenance and service fee
802524,728993,2024-06-30,152124.71,Consultation fee
896453,804085,2024-05-20,142320.65,Consultation fee
278853,971319,2024-07-27,27356.72,Real estate sale commission
801456,895865,2024-04-06,167783.29,Property management fee
578884,570034,2023-12-13,148900.25,Consultation fee
929535,292609,2024-04-27,161773.55,Maintenance and service fee
449483,233457,2024-05-14,8098.19,Lease signing bonus
313095,949769,2023-10-10,88426.61,Consultation fee
729866,308321,2024-06-04,168686.03,Investment return
278721,640317,2024-05-12,84548.12,Investment return
129941,613875,2023-12-15,104508.04,Property management fee
270872,467369,2024-05-14,15881.07,Investment return
371320,460580,2024-01-31,69636.2,Maintenance and service fee
615012,292429,2024-01-13,51789.3,Real estate sale commission
418181,473785,2023-12-25,74228.9,Lease signing bonus
456355,273530,2024-01-02,160446.78,Investment return
146608,980962,2024-08-02,88825.29,Consultation fee
247350,869078,2024-06-10,33643.69,Property management fee
967923,296880,2023-11-28,34372.42,Lease signing bonus
235378,973180,2023-12-09,34522.21,Real estate sale commission
301963,948836,2024-03-12,35170.16,Real estate sale commission
340209,889577,2024-03-14,89624.46,Property management fee
172375,636953,2023-09-24,15356.34,Real estate sale commission
741939,512198,2024-03-13,68566.92,Real estate sale commission
832934,906641,2024-03-02,42013.81,Rental income
438375,332598,2024-02-22,70586.23,Rental income
455482,115221,2024-05-23,6755.72,Investment return
234918,921835,2024-01-14,55534.33,Real estate sale commission
274014,129303,2023-12-23,94380.62,Investment return
334446,840387,2023-09-05,142392.34,Investment return
232313,860056,2023-12-15,175652.64,Consultation fee
359711,872729,2024-05-15,35423.06,Maintenance and service fee
684236,640249,2023-11-27,135421.5,Investment return
216196,669857,2023-09-03,61508.56,Consultation fee
277482,991624,2024-02-01,98744.76,Investment return
547581,922809,2024-03-14,45601.85,Rental income
142113,557317,2024-04-09,80644.32,Property management fee
265383,436826,2023-09-02,196457.51,Property management fee
302837,915540,2023-12-10,149343.63,Rental income
927068,217481,2024-03-21,22508.35,Real estate sale commission
875855,310866,2023-08-09,39584.97,Investment return
851328,964217,2023-08-07,180190.98,Property management fee
419693,137011,2023-09-15,145013.54,Investment return
406873,987487,2023-09-09,111444.8,Lease signing bonus
863986,667806,2024-07-30,30842.8,Consultation fee
651738,941359,2024-05-03,73922.37,Maintenance and service fee
352240,815406,2024-02-18,199463.14,Rental income
232128,763894,2024-03-27,147307.6,Rental income
465811,361864,2023-08-19,181108.12,Investment return
833567,517937,2023-08-12,20653.75,Lease signing bonus
548738,253530,2024-05-03,49639.97,Lease signing bonus
651605,395062,2024-03-14,110185.5,Investment return
752030,557317,2023-09-03,111673.82,Real estate sale commission
845737,989375,2023-12-01,154596.23,Maintenance and service fee
731537,824238,2024-08-01,95014.18,Lease signing bonus
750980,923689,2023-08-19,124418.81,Consultation fee
945430,420766,2023-10-11,99830.61,Consultation fee
527722,674418,2024-01-22,52060.09,Rental income
680520,609343,2024-02-27,17257.28,Rental income
883580,441953,2023-09-21,197892.77,Property management fee
875966,283368,2024-05-02,56044.95,Lease signing bonus
626411,959615,2023-10-25,125271.69,Property management fee
736276,578281,2024-07-21,60371.43,Consultation fee
849116,297790,2024-03-15,103258.24,Property management fee
283088,640317,2024-04-04,134266.28,Investment return
235280,663739,2024-05-13,93544.65,Property management fee
559436,709412,2023-08-25,178979.89,Property management fee
212814,978692,2023-11-11,195782.88,Lease signing bonus
428641,158412,2024-05-28,193973.8,Rental income
691356,270671,2024-07-19,115921.11,Consultation fee
188357,466628,2024-01-14,129170.71,Maintenance and service fee
877498,614786,2024-04-16,11681.41,Real estate sale commission
649594,130304,2023-12-28,160609.0,Real estate sale commission
644170,500418,2023-10-28,129331.9,Consultation fee
573612,454089,2024-01-31,112075.66,Consultation fee
120310,506126,2024-05-10,32336.02,Property management fee
898498,833298,2023-09-25,198113.5,Rental income
656978,251385,2023-12-15,136345.53,Property management fee
907402,997110,2024-04-06,96860.98,Property management fee
516216,863973,2024-03-22,198985.28,Lease signing bonus
769336,500418,2024-06-03,184906.2,Rental income
526406,867310,2024-06-19,162395.44,Rental income
934864,516311,2024-05-04,195917.14,Investment return
907115,255892,2024-07-12,38038.43,Real estate sale commission
705095,835791,2023-11-05,16411.64,Maintenance and service fee
329082,194293,2023-09-23,69105.34,Investment return
350374,818067,2024-02-22,24312.43,Property management fee
687478,553057,2024-07-04,15565.9,Consultation fee
282809,573839,2023-10-11,110017.73,Property management fee
963669,895865,2024-05-13,45690.62,Consultation fee
378681,814677,2024-03-01,147267.04,Real estate sale commission
907888,627036,2024-07-14,103264.69,Real estate sale commission
618161,743033,2023-10-22,170448.67,Real estate sale commission
932511,411016,2023-11-25,108154.75,Consultation fee
454253,392822,2024-01-14,118818.54,Consultation fee
993399,949769,2023-12-16,20807.26,Rental income
708248,181247,2024-07-02,183340.71,Real estate sale commission
859154,846245,2024-03-20,142371.08,Investment return
333369,454588,2023-11-22,19420.73,Consultation fee
129217,681289,2023-08-08,107683.96,Maintenance and service fee
292240,140076,2023-08-19,42213.5,Investment return
782757,305054,2024-06-19,20954.73,Real estate sale commission
182643,158115,2024-02-01,152449.49,Lease signing bonus
733396,593866,2024-06-08,107975.27,Real estate sale commission
966918,885508,2024-06-25,128224.88,Lease signing bonus
490460,250776,2024-06-01,58619.61,Rental income
831116,371683,2023-10-18,61241.56,Rental income
104811,567497,2023-08-17,100792.95,Investment return
431269,971535,2024-06-11,131138.75,Consultation fee
802223,900425,2023-12-21,17195.83,Lease signing bonus
320037,554198,2024-07-21,152171.69,Rental income
170112,106353,2024-07-10,115440.74,Property management fee
774510,141776,2024-01-03,172922.3,Lease signing bonus
361738,761332,2024-01-21,137128.58,Rental income
237404,804085,2024-05-28,136803.08,Consultation fee
859143,316927,2024-03-30,161893.19,Property management fee
421691,915703,2024-05-23,137043.48,Real estate sale commission
787984,150954,2024-02-15,46554.61,Consultation fee
218916,949008,2023-08-21,83164.9,Consultation fee
307199,287672,2023-08-08,56784.67,Lease signing bonus
666838,541939,2024-07-29,36613.48,Rental income
111560,400534,2023-08-24,158810.4,Property management fee
586421,705893,2024-05-22,134182.06,Rental income
255755,251385,2024-06-10,53905.12,Property management fee
903646,542949,2024-05-08,187008.1,Real estate sale commission
635938,242417,2023-12-01,32569.71,Investment return
722850,359672,2023-09-10,182059.07,Lease signing bonus
982074,347268,2024-07-13,87178.46,Rental income
621767,725789,2023-10-26,135501.72,Investment return
767225,680289,2024-07-13,92925.31,Maintenance and service fee
525241,433281,2023-10-02,53426.43,Maintenance and service fee
612961,948133,2024-04-26,51615.92,Rental income
585788,657270,2023-11-13,198507.47,Property management fee
177081,982567,2024-03-01,24631.67,Real estate sale commission
527992,279027,2024-05-29,59215.03,Consultation fee
925117,889577,2024-02-05,21288.05,Rental income
195747,958373,2024-06-16,78147.23,Maintenance and service fee
550170,133341,2024-05-13,118889.02,Investment return
813681,736783,2024-01-07,35556.16,Maintenance and service fee
428209,147674,2024-03-25,166525.67,Consultation fee
271310,195286,2024-02-17,106822.94,Consultation fee
441900,929359,2023-09-27,185963.85,Maintenance and service fee
118156,170860,2024-02-21,85328.63,Maintenance and service fee
538842,808506,2024-03-06,36536.22,Maintenance and service fee
821689,867564,2024-07-03,24574.95,Investment return
734145,150954,2023-09-27,103720.27,Consultation fee
510244,290339,2023-12-05,118196.64,Real estate sale commission
102987,136727,2023-12-16,50311.94,Investment return
279221,738359,2024-07-12,152959.05,Rental income
